review,sentiment
3 hours is too long for a movie. The special effects were great. And it was cool to see all the characters together. But they either need to add an intermission or just make the movie shorter.,-1
47 out of 100 . Enjoyable somewhat but is clearly set out for closure needing fan base.  Poor script and dull emotional baggage bonded with lucky plot scenes over and over again. Compared to the comic unimaginative and another same old loophole movie dragged out over 3hrs...... entertaining in parts but the 6 rolls in every scene for every instance with these defeated bunch brings eyerolls for the most part. Especially the absolute silly she scenes eyerolls pretty much just barely keeping you awake at this point. Thanos character is inconsistent and stripped down  let alone others in the movie.  Plenty of plot holes and sub plots that are just to rubbish to expand on. The last movie was much better and I'm sure many needed the enjoyment of closure around the story. But a stained finish to the marvel seris really and kinda left out a movie for everyone. The movie was about bringing back and includeing everyone but the movie was catered towards certain audiences and lack luster scenes of luck isn't up to scratch and was a below par mashup . Long . Lazy.,-1
"A 10-year adventure of great stories accompanied by a great cast hurt me a lot to say goodbye to the avengers, a great closing although it is not the final ending.",1
"A bit of a mess...But it might grow on me.This movie was not nearly as tight and orderly as Infinity War.  It had way too much going on, got bogged down in too many needless scenes that dragged too long and poorly told jokes that did not stick like they usually do.The final battle did not have nearly as much action as expected.  And since it was against time-travel Thanos it really didn't feel like it was against the real Thanos from Infinity War.  A missed opportunity.The Russo Brothers said they wanted to dedicate this one to the fans.  If you want to please the fans, then make a great movie.",-1
"A film that really needs no introduction, all us superhero fans have been waiting for this moment for so long and it’s finally here. I still remember seeing the first Iron Man movie in the cinema and I never would have thought it would bring us here. As always this is a spoiler free review but I do recommend avoiding all reviews until you’ve seen Avengers: Endgame for yourself. Honestly you should avoid all reviews and social media in general because not all of us are adhering to the #DontSpoilTheEndgame request by the Russo Brothers. So if you’re the type of person who would intentionally spoil a film like this for someone else you’re the type of person who deserves to be wiped out with a single snap of the fingers.Set immediately after the events of Avengers: Infinity War, the universe is trying to come to terms with the devastating effects after half of the universe have been wiped out. The remaining Avengers are determined to do whatever it takes to try and undo Thano’s actions. I wouldn’t be a huge fan of all the Marvel movies, Age of Ultron and Civil War for me had a lot of problems yet what saved them was the characters and what drives Endgame is the characters we’ve come to know and love over this long journey. I loved Endgame, my heart was racing, I was on the edge of my seat. All the previous films have led up to this moment and no time is wasted diving straight in. With a three hour running time it’s not the type of film you want to buy a giant bucket of coke for unless you’re prepared to leave the cinema to use the bathroom, because don’t let these so called online bathroom guides fool you, there is no part of Endgame worth missing. I can’t speak for everyone but those were the quickest three hours of my life. Despite that I did feel a certain few characters were not given the screen time they maybe deserved, though I understand it would be difficult to give everyone their moment with a cast this big, even with the lengthy running time it just isn’t possible. Though maybe we could have done with a little less of the Hulk eating lunch and a little more Okoye, whatever I’ll get over it.You’ll laugh, you’ll cry and you’ll cheer along with the film. There’s nothing better than being in a packed cinema screen with die-hard fans of the franchise. A spectacular cinematic achievement with a very satisfying ending. A real sense of closure, yes that means no post credits scene so feel free to make a mad dash for the bathroom if you’re not a blubbering mess by the end.It may go without saying but yes you really do have to have seen most of the other Avenger movies, if you haven’t you really won’t get much out of Endgame. Highly recommended but honestly I don’t need to recommend this one do I? You’ve already seen it, it’s made over 1 billion on it’s opening weekend and will continue to break all the records.",1
"A fitting conclusion to the infinity war saga for the mcu. Humorous and emotionally compelling, Endgame is one of the best superhero movies of all time.",1
A good concusion to a mind blowing series of movies. I'm happy with how everything turned out even though I'm dissapointed with the character treatment of Thor and Hulk. An epic conclusion.,1
"A good ending for Captain America, Iron Man and Thor. Those 3 Battling Thanos at the same time was the best thing in the movie. Hulk was hilarious, i wish he got to fight Thanos too. Hawk Eye were finally used properly. But there was alot more bad than good in this movie. The Female Avengers Movie setup felt so forced no ones excited for that. Pepper Pots as Iron Man again? it didnt work in Iron Man 3 and it dam sure is not going to work in future movies. Captain Marvel, shes is just the worst..too OP to care about her future movies. Judging by the direction they are going, i see that this is the last Marvel Movie i will ever need to see. Its been fun.",-1
"A great ending to a long-running cinematic storyline. The acting was great, and the movie's length worked to its advantage to set scenes before diving into main plot points. Robert Downey Jr.'s performance was stellar especially, and Tom Holland was especially enjoyable during the final, chaotic fight scene. It is not a perfect movie, but a great watch with a tear-jerking ending, a great end to Tony Stark's character arc.",1
"A great finale to an amazing series, however, due to several plot holes, and obvious ways the could’ve defeated Thanos, too many things seemed unrealistic, the action was great, but was yet another disposable CGI army, Thanos seemed unrealistically more powerful, Iron Man’s death seemed avoidable, they had the time stone and somehow they couldn’t undo Iron Man’s death? Boring at times, too long, it faield to get me interested in the next movies (besides Far From Home) but a solid conclusion.",0
"A irritating and tediously longwinded movie, that has spoilt the series for me.  Mawkish and far too long, 3 hours of my life that I would quite like back.",-1
A JAW-DROPPING love letter to comicbook fans and the Marvel Cinematic Universe characters. INCREDIBLE!,1
"A little bit of a let down after everything leading up to it. I would have given it a much higher score regardless, if Marvel hadn't put their political agenda's in the film. -They have a scene where they throw in a gay character with absolutely no benefit to the movie, then never seen again. -Then there was Brie Larson at it again. Thank goodness they gave her barely any screen time. Unfortunately that was too much screen time. Every comment she made was condescending, arrogant, and annoying. Terrible Character. Marvel should have definitely used this movie as a way to kill her off from the series. -Then this obsession with empowering all the female characters. In fact they have this one horrible scene where Captain Marvel is trying to get the gauntlet through Thanos' army and only all the female character line up together to protect the gauntlet and back her up. I could totally imagine a ""Girl Power"" banner in the background. I did a face palm in the theater.-Going along with empowering females, they also make the male characters useless. Hulk is worse in this movie then he was Infinity War, except now they also screwed up Thor. Besides Iron Man, Thor was the only other person who deserved to win this. He sacrificed the most, he lost the most, he suffered the most, yet here they make him a fat, alcoholic, useless, and unmotivated character full of insecurities. He didn't get any redemption nor satisfaction, in fact he gave away what he already had (such as the visions and coming in to save the day in Infinity Wars).-The rest of the male characters where all very submissive and weak around the females while the women acted strong and NEVER once showed any weakness.-They ruin this movie with PC cultural and Feminism once again (not sure why they haven't learned from the Captain Marvel flop). I am no longer going to be seeing Marvel movies in the theaters, they are becoming corrupted by this liberal junk. I go to watch movies to enjoy myself. Not to get political correctness and feminism rammed in my face.",-1
A little dissapointing movie for me . Time travel in the movie sucks and the way that they killed the original Thanos in the start of the film was really awfull,0
"A lot of plot holes, Captain Marvel with the speed above light to bring Iron Man back, Nebula bringing all Thanos' troop without even a **** Pym Particle.In the previous installment Thor almost killed Thanos equiped with the 6 gems, now he gets kicked in the ass by a Gemless Thanos just because he got fat? (WTF IS THAT?)TerribleGet better MCU.",-1
"A mediocre ending to a nice start, too many politically correct themes forced inside the filming ruined also the pace of the action.",-1
A more than worthy closure.AVENGERS ENDGAME is excellent in all aspects.Everything is well balanced.I love the Scarlet Witch.THIS CINEMATOGRAPHIC EVENT IS SO GREAT that there are no words to describe it.,1
A movie that leaves a lot of emotions. Hope for the return of Iron Man and I don't know where Loki will get the infinity stone,1
"A movie that seems like 3 movies fused: A part about regret and defeat, a part about a time heist and another that is the great battle we've all been waiting for.The humor is hit or miss, with some jokes being repeated too many times (Fat Thor). The time travel part creates a huge amount of plotholes, but it's interesting indeed.The movie lends too much time for the first part, filling much of the 3 hours of the movie. The main characters on this movie are the original avengers, whose story ends in this movie. The best part about this movie is how it ties up all the storylines of the MCU in a satisfying conclusion.It is a worse movie than Infinity War but it definitely isn't a disappointment. However it gives me the idea that the future of the MCU won't be that great, seeing as the most important Avengers in the next phase are mostly absent (I still don't see Captain Marvel as the leader of the New Avengers, it is still an undeveloped character).Hawkeye/Ronin's storyline is compelling and Scarlett Johansson works the best as Black Widow in this movie, although her sacrifice scene is a bit odd.The final battle against Thanos is compelling although being time travel Thanos makes it less dramatic. The battle between Thanos and Scarlet Witch could have been more emotional with a Thanos that killed Vision.Tony Stark's sacrifice is compelling as the end of Stark's character development, becoming a symbol for the hope of humanity and the Avengers. From being an arrogant and egotistical man to a selfless yet still arrogant hero, fighting for the future.",1
"A satisfying end to the infinity war saga but the way they did it was also a cheap cop out. Time travel is a cheap way to beat an enemy, albeit the way they handled time travel is refreshing . Marvel could have looked to the comics for inspiration and even extend the thanos/infinity stone saga even more so.This movie is 100% fan service as they close the book on the future of the original avengers bar Hulk.",1
"A sequel that is not as good and epic as Avengers: Infinity War, but is still good enough to leave fans satisfied.",1
"A smart, funny, entertaining, film, with one hell of a battle that brings closure and finality to the Infinity Saga. Personally, I didn't find it as satisfying as its predecessor however it is still a great film that I feel is sometimes brought down by underdeveloped characters. Most of you will leave feeling emotionally wrecked, I left the cinema feeling confused as I'm pretty convinced that timelines are a little wrecked after this. While currently at the time of typing I feel like I might be done with MCU now, I am curious to see how they will be going forward from here.",0
"A very fun and fitting conclusion to a wildly successful saga. Its biggest problem is that it relies heavily on time travel, and while they try to explain it, they constantly break their own rules. Banner explained that when you change the past, it becomes your new present and future. And by returning the stones to their original universe, you cauterise that timeline. So why didn't Captain America staying in the past seriously affect the present? And how did he end up on that bench when you need to be stood on that platform to get back? Why did nobody bat an eyelid when Nebula didn't return when Natasha didn't? And Doctor Strange's 1 in 14,000,000 ""plan"" relied on the chance that a rat would release Lang 5 years in the future, and countless other unpredictable variables that they had no control over...To put it bluntly, the writing makes almost no sense. However, it succeeded in completing many character arcs, kept it interesting and creative the whole time and the dialogue exceeded the average Marvel movie. It was also accompanied by some nice direction, whether it was snappy editing for comedy, attractive cinematography for the more emotional scenes or to show the scale of the battlefield, in addition to having impressive production, sound design and visual effects.",0
"A very mixed bag of good ,bad and meh. They actually could have split this episode into 2 parts and it would have been better because they tried to jam way too much exposition,wrapping up of loose ends and results for all characters into 'only' 3 hours.That didn't leave any time for most characters to be anything more than devices to move the plot along.The last hour makes the price of admission worth it though as a lot happens.Anyone worried about Captain Marvel taking over the film as dominant figure rest easy .It's not that way. Still worth an 8.",1
"A well made film that is marked as the ending for the MCUThe film was exciting and funny, not as well written as Infinity War but easily a top ten superhero movie. I would say character interaction with each other is the best part of this film. If you like superhero or just adventure movies I would recommend this to you.",1
"a word, BRILLIANT!THIS IS THE BEST MCU MOVIE SO FAR AND THAT'S THAT. I will miss this....",1
"“I know I said no more surprises, but... I was really hoping to pull off one last one.”After the shocking cliffhanger at the end of ‘Infinity War’, the question that ran through our head’s was “hmm...what just happened?”. Heroes disintegrating out of existence before our very eyes with the last remaining soak up the reality of their failure, and the antagonist finally at peace knowing the monstrous deed is done.‘Avengers: Endgame’ perfectly wraps up 22 movies in a grand and spectacular scale. For a movie that’s three hours long, not once did I feel the length as everything flew by (in my opinion). There's so much going on. The fact this movie even exist and payed off as well as it did, it’s nothing short of a miracle. The Russo Brothers always do a fantastic job directing action and camera work, but little do people mention how they get the best performance out of everyone and really flesh out each character, and I mean every character. I think Black Widow is best handled whenever the Russo’s are involved, in terms of making her dynamic and characterization rather than hard as nails “girl power” trope - that no other director haven’t got the hint yet. I’m also thrilled Hawkeye gets his time to shine, which helps Jeremy Renner work with material to deliver an emotional performance that was pretty hard hitting at times.Same thing with Paul Rudd as Scott Lang/Ant-man. It’s incredibly transparent that the Russo Brothers really like this character and doesn't dumb him down to make other characters look good and isn’t just a buffoon. They understand his intelligent and used Scott’s comedic backbone to his advantage. He basically saves the world (besides the rat).Heck, every character gets a great arc, and yes even Thor, which I don’t understand why people argue that he doesn’t. While still having a comedic charm from ‘Thor: Ragnarok’, but when the scene calls for him to be serious, then expect chaos. He really is the strongest and most tragic Avenger. The other main characters also get fantastic and satisfying arcs.Also the acting from everyone was absolutely stellar. Robert Downey Jr. is magnificent as usual, although here it hits home. Chris Evans really grew into the role of Captain America and I can't imagine any other actor playing the part than him. Karen Gillan is often overlooked playing Nebula, as I always thought she nails every role she plays. Despite the heavy make-up, she still can express so much. What's more to say about these actors than best casting ever.The mad titan himself makes a return, but doesn’t have much screen time than “Infinity War” and...well, let’s just say the character goes into an unexpected direction, to say the last. Still a poetic and intimidating villain that can brawl with the avengers with or without the gauntlet. Josh Brolin once again delivers an excellent performance. Thanos is this generation’s Darth Vader.The action sequences are light years more monumental than ‘Infinity War’. If I have to be honest, I shed a tear at the one point towards the final battle. Although the movie isn’t action heavy throughout, but I was never bored during the more slow paced moments.The score from Alan Silvestri﻿ is perhaps the best and most memorable score in the MCU. A mixture of sadness and loss with a booming blast of epic. Perfectly pays tribute to the original six heroes.Now people have complained about the movie having too much fan service, which I personally didn’t mind and couldn’t see the faults, because then again, this entire cinematic universe belongs to them, the fans. The reason why we have 22 movies, 48 hours and 11 minutes worth of movies and this movie pulling in a monster $2 billion worldwide only in 11 days beating ‘Avatar’ that did so in 47 days! While not a stand alone movie, although considering it’s a follow up to the events of “Infinity War”, it would be tricky to do so.For problems: The story had issues throughout and the entire time travel subplot made no sense whatsoever when given a second thought, but then again, how can you make sense of time travel.I didn’t find Captain Marvel solo movie to be all that interesting - both the movie and her as a character, but was hoping the Russo Brothers would resolve that issue and make the character less wooden. Unfortunately even the Russo’s couldn’t save her. Luckily her screen time is incredibly slim, but they literally pulled a Poochie type of excuse when she was absent for a huge amount of the movie’s run time with a “I must go now. My planet needs me”, from ‘The Simpsons’. I must admit, when she did return, I groaned.Overall rating: Despite the problems, ‘Endgame’ still delivers a sweeping epic that leaves the audience feeling whiplash with emotions. Happiness, sadness, joy and excitement. An experience I’ll remember forever.",1
"About the all female scene: as a straight guy, I like that scene. I have seen so many negative comments about it and state the scene is so ""forced"". Well, if we use this mindset, the whole movie is ""forced"" because so many things had to happen at the right place and right time: Tony Stark meeting his father, Steve Rogers getting back with his love of life. Also, if Hulk, Iron Man, Captain America, Thor, Hawkeye, Star Lord, Black Panther and Dr. Strange are fighting together in one scene, I don't think people would say it's ""forced"" although they are all males. Last but not least, this whole movie is a fan service. Let's just celebrate the diversity of the superhero lineup. Everyone of them is the favorite for some fans. You don't need to bash others to love one. Thank you!",1
"After being such an avid fan of these (mostly) marvellous films for so long, it's such a shame to have it ended this way.  It still entertained (mostly) but i think that hinged entirely on the fact that i've liked these characters in other movies - and by the time of the very hastily put together 'final battle' which i thought was filled with CGI near-misses - i'd checked out.",-1
"After being the 22nd movie in the franchise, it brings the series to new heights. This movie is best benefited by those who have watched most of, if not all of the Marvel films. Throwbacks and characters appear from more than last decade of movies. The acting and comedy is on point with every joke hitting perfectly and every actor showing their passion for the role. The movies set pieces are perfect with sets from past movies. The action, humor and overall story telling shows the passion that not only the Russo brothers had for this film but everyone involved. The story concludes the 22 films perfectly while also leaving character arcs open for future MCU movies. This movie deserves the praise and excites me for future MCU movies in the future. This movie is a roller coaster which can be benefited most by those who have seen many of the other marvel films. Thank you to all those involved in the production of this movie, you have created a great films!",1
"After enjoying Infinity War tremendously last year, I was quite shocked how mediocre and boring Endgame had become in comparison. Marvel movies really start to fail my expectations and I need a break from them.",-1
"After Infinity War I had high hopes for this one. That's why the dissapoitement struck hard. There are a lot things done wrong with End Game and because of the below I gave it a 4/10:- Thor and Hulk put aside for no reason. They tried to make them some kind of funny characters, but it did not work.- Plot holes, plot holes everywhere. Just for example:(ultimate sacrafice for the soulstone - Hawkey lost his family already; time travel; Ant-Man rescued by rat; Thor took Mjolnir to his timeline; Nebula did not travel back in time, but stayed on the ship and got caught instead; Thor almost killed Thanos when he had the gauntlet with all stones and could not beat him without it; Tony takes all stones away from Thanos, just like that). There are many more, but those are the major ones.- weak, dull and unnecessary jokes - pace and narration problems. It felt somethimes like there was a struggle betwwen two concepts and both ideas were implemented.- forced and unnecessary ""strong independent women to the rescue with Spiderman"" sceneFor me a Marvel fan it is a huge disappointment, especially after such good Infinity War. End Game felt rushed and produced without a plan and highly inconsistent. A shame though.",-1
"After reading some of the slobbering, drool-cup-required reviews rating this stink-bomb a ""10"", I now wish I got the see that special-edition version.  Was there an option that I missed at the ticket kiosk to see either the drool-cup version or stink-bomb version?  Because I sure didn't see the same film.Avoid Endgame unless you get to see it for free.  And even then, the 3 hours of your life is wasted; or maybe watch it in the background while you're doing your taxes, clipping your toenails, etc.Oh, and Brie?  Get in the kitchen and make me a sandwich. If it's a good sandwich, you'll get a Diversity Cookie.",-1
"After the cullmunation of 21 films and 11 years we are finally here. Avengers Endgame is a Fantastic and Amazing film. Yeah... It's not perfect, but no movie really is.    As a movie i'd give it a 9.9/10    Enjoyment level: 3000/10 Baby",1
"After the mind-blowingly stellar and near perfect Avengers: Infinity Wars, I went to see Avengers: EndGame and was severely disappointed. Despite an admirable performance by Robert Downey Jr, the rest of this trainwreck is easily the worst Marvel movie made in years. Horrid pacing and a non-existent script and the most cringe-worthy performance outshine the admittedly fantastic CGI and strong choreography. It goes to show that a movie even with triple AAA CGI and special effects will fall flat on its face without a coherent and strong script. The Hulk is made into an absolute joke in EndGame, and Thanos motivations are little different from the prequel, except worse. Chris Hemsworth's performance as an Alcoholic Thor destroys what little hope was left for this movie. To say Hemsworth's performance was cringe-worthy doesn't do the experience any justice. Outside of Robert Downey Jr, most of the actors felt flat and uninspired in Endgame. Little is different about the plot from Infinity War, except that Infinity War had a dark twist ending and compellingly developed the antagonist as a villain. In Endgame, Thanos just feels like a substandard cliche, ""I want to take over the world"" stereotype. Despite the phenomenal battle scenes and choreography, the robotic and lifeless performance from the rest of the cast, not to mention aggravatingly horrible jokes and cliches riddled throughout the picture destroy all credibility this film could have had. Its as if the film directors and screenwriters looked at all the elements that were prodigious about Infinity War and said to themselves, ""Who needs ANY of that when we can have cliches?""    Avengers: Infinity War is without a doubt the superior film, and Marvel would be wise to revisit its strongest aspects to improve on the sequel.",-1
